Name and abbreviation,CAS no.,EC / List no.,Health Effects,Environmental Effects,Status,Regulatory Field
"(±)-1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2-(4-MBC)",36861-47-9,253-242-6,Yes,Yes,"Health candidate list year: 2022




Commission EDC list year*: 2019","REACH, Cosmetics"
"(1R,3E,4S)-1,7,7-trimethyl-3-(4- methylbenzylidene)bicyclo[2.2.1]heptan-2-one (4-MBC)",95342-41-9,,Yes,,Health candidate list year: 2022,REACH
"(1R,3Z,4S)-1,7,7-trimethyl-3-(4- methylbenzylidene)bicyclo[2.2.1]heptan-2-one (4-MBC)",852541-21-0,,Yes,,Health candidate list year: 2022,REACH
"(1R,4S)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one (4-MBC)",741687-98-9,,Yes,,Health candidate list year: 2022,REACH
"(1S,3E,4R)-1,7,7-trimethyl-3-(4- methylbenzylidene)bicyclo[2.2.1]heptan-2-one (4-MBC)",852541-30-1,,Yes,,Health candidate list year: 2022,REACH
"(1S,3Z,4R)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one (4-MBC)",852541-25-4,,Yes,,Health candidate list year: 2022,REACH
"(3E)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one (4-MBC)",1782069-81-1,,Yes,,Health candidate list year: 2022,REACH
"1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2-one; 3-BC",15087-24-8,239-139-9,,Yes,Environmental candidate list year: 2019,REACH
"14-(nonylphenoxy)-3,6,9,12-tetraoxatetradecan-1-ol",26264-02-8,247-555-7,,Yes,"Environmental candidate list year: 2013
Environmental authorisation list year: 2019",REACH
"17-(4-nonylphenoxy)-3,6,9,12,15-pentaoxaheptadecan-1-ol",34166-38-6,,,Yes,"Environmental candidate list year: 2013
Environmental authorisation list year: 2019",REACH
2-(4-nonylphenoxy)ethanol,104-35-8,,,Yes,"Environmental candidate list year: 2013
Environmental authorisation list year: 2019",REACH
2-[2-(4-nonylphenoxy)ethoxy]ethanol,20427-84-3,243-816-4,,Yes,"Environmental candidate list year: 2013
Environmental authorisation list year: 2019",REACH
2-[2-[2-[2-(4-nonylphenoxy)ethoxy]ethoxy]ethoxy]ethanol,7311-27-5,230-770-5,,Yes,"Environmental candidate list year: 2013
Environmental authorisation list year: 2019",REACH
"2-[4-(1,1,3,3-tetramethylbutyl)phenoxy]ethanol",2315-67-5,621-345-9,,Yes,"Environmental candidate list year: 2012
Environmental authorisation list year: 2019",REACH
"2-[4-(3,6-dimethylheptan-3-yl)phenoxy]ethanol",1119449-37-4,687-832-3,,Yes,"Environmental candidate list year: 2013
Environmental authorisation list year: 2019",REACH
"2-{2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethoxy}ethanol",2315-61-9,,,Yes,"Environmental candidate list year: 2012
Environmental authorisation list year: 2019",REACH
"2-{2-[4-(3,6-dimethylheptan-3-yl)phenoxy]ethoxy}ethanol",1119449-38-5,687-833-9,,Yes,"Environmental candidate list year: 2013
Environmental authorisation list year: 2019",REACH
"20-(4-nonylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol",27942-27-4,248-743-1,,Yes,"Environmental candidate list year: 2013
Environmental authorisation list year: 2019",REACH
"20-[4-(1,1,3,3-tetramethylbutyl)phenoxy]-3,6,9,12,15,18-hexaoxaicosan-1-ol",2497-59-8,219-682-8,,Yes,"Environmental candidate list year: 2012
Environmental authorisation list year: 2019",REACH
"23-(nonylphenoxy)-3,6,9,12,15,18,21-heptaoxatricosan-1-ol",27177-05-5,248-293-6,,Yes,"Environmental candidate list year: 2013
Environmental authorisation list year: 2019",REACH
"26-(4-Nonylphenoxy)-3,6,9,12,15,18,21,24- octaoxahexacosan -1-ol",14409-72-4,604-395-6,,Yes,"Environmental candidate list year: 2013
Environmental authorisation list year: 2019",REACH
